0.215,0.910783
0.216,0.902275
0.217,0.893884
0.218,0.885609
0.219,0.877448
0.22,0.869398
0.221,0.861457
0.222,0.853621
0.223,0.845894
0.224,0.838267
0.225,0.830741
0.226,0.823316
0.227,0.815989
0.228,0.808759
0.229,0.801621
0.23,0.794579
0.231,0.787625
0.232,0.780765
0.233,0.77399
0.234,0.767302
0.235,0.7607
0.236,0.754182
0.237,0.747744
0.238,0.74139
0.239,0.735113
0.24,0.728917
0.241,0.722796
0.242,0.716751
0.243,0.710781
0.244,0.704885
0.245,0.699058
0.246,0.693305
0.247,0.687619
0.248,0.682006
0.249,0.676457
0.25,0.670975
0.251,0.665559
0.252,0.660207
0.253,0.65492
0.254,0.649692
0.255,0.644528
0.256,0.639423
0.257,0.634377
0.258,0.629393
0.259,0.624465
0.26,0.619591
0.261,0.614775
0.262,0.610015
0.263,0.605307
0.264,0.600655
0.265,0.596054
0.266,0.591504
0.267,0.587006
0.268,0.582559
0.269,0.578161
0.27,0.57381
0.271,0.56951
0.272,0.565255
0.273,0.56105
0.274,0.556888
0.275,0.552772
0.276,0.548701
0.277,0.544674
0.278,0.540688
0.279,0.536748
0.28,0.532848
0.281,0.528992
0.282,0.525176
0.283,0.521399
0.284,0.517663
0.285,0.513967
0.286,0.510309
0.287,0.506688
0.288,0.503106
0.289,0.499561
0.29,0.496051
0.291,0.492579
0.292,0.489142
0.293,0.48574
0.294,0.482374
0.295,0.479042
0.296,0.475742
0.297,0.472475
0.298,0.469243
0.299,0.466042
0.3,0.462874
0.301,0.459737
0.302,0.456631
0.303,0.453555
0.304,0.45051
0.305,0.447495
0.306,0.444508
0.307,0.441553
0.308,0.438626
0.309,0.435727
0.31,0.432854
0.311,0.430011
0.312,0.427195
